"","logFC","AveExpr","t","P.Value","adj.P.Val","Gene"
"221730_at",-1.71267449776119,6.90846872281197,-1.8168112696091,0.0393047024968288,1,"221730_at"
"221729_at",-1.69434082974601,8.03556771618822,-1.54343240963714,0.066272777384527,1,"221729_at"
"221728_x_at",2.22413600936142,8.78730903217481,1.30967546029406,0.100605905612564,1,"221728_x_at"
"213436_at",-1.45583594901153,6.93525425729499,-1.12227618011615,0.135042231072842,1,"213436_at"
"214218_s_at",1.78625044577965,7.61434123326463,1.02685310014994,0.156565687741115,1,"214218_s_at"
"206552_s_at",-1.41050342477962,6.46075918323229,-0.871325251731087,0.195035856999511,1,"206552_s_at"
"204712_at",-1.21712871160458,6.17285123240508,-0.567180145389008,0.287272831637855,1,"204712_at"
"203798_s_at",-1.23274201872123,6.50531821547994,-0.459145412574856,0.324669892775415,1,"203798_s_at"
"205000_at",-1.2697562114882,5.0441604881829,-0.44369134620256,0.330491127358718,1,"205000_at"
"221805_at",-1.20605458399503,8.47360750430622,-0.39902107176369,0.346343059040325,1,"221805_at"
"213921_at",-1.13484666980914,6.81159982247244,-0.351568891297727,0.363733291135629,1,"213921_at"
"202507_s_at",-1.16829432936579,9.42844113249141,-0.346359436746967,0.365715140156546,1,"202507_s_at"
"210222_s_at",-1.03097236790151,9.72651238056581,-0.0778132673606648,0.469237557224295,1,"210222_s_at"
"201909_at",-1.03539960686736,6.63605691649255,-0.0661415500833185,0.47414107047518,1,"201909_at"
"202429_s_at",-1.00614365121785,10.3380932084023,-0.0152729487160107,0.493964833200944,1,"202429_s_at"
"205278_at",-1.00073439807818,8.42384712411883,-0.00215104203182684,0.499149336089413,1,"205278_at"
"206976_s_at",-0.994816785195745,9.84361770456814,0,0.505208281731903,1,"206976_s_at"
"205352_at",-0.995448832507059,8.9035507316255,0,0.505368207047254,1,"205352_at"
"207957_s_at",-0.98580348834494,8.30400471302157,0,0.514515051237455,1,"207957_s_at"
"220122_at",-0.982373568255974,7.45037066388935,0,0.516461976916618,1,"220122_at"
"200978_at",-0.965889029133827,9.8948715168706,0,0.532745679989251,1,"200978_at"
"201939_at",-0.969765464479943,7.26872902302367,0,0.534238465554304,1,"201939_at"
"205827_at",-0.966334093105693,8.25802291291874,0,0.537063362449093,1,"205827_at"
"203999_at",-0.955281874869319,10.9926113875874,0,0.545226381705591,1,"203999_at"
"206935_at",-0.935617285570626,7.64811853759708,0,0.550446705388998,1,"206935_at"
"203998_s_at",-0.943048238366527,5.39389099263235,0,0.553293948500475,1,"203998_s_at"
"205110_s_at",-0.939736751858176,8.9619895908652,0,0.557387232362764,1,"205110_s_at"
"205280_at",-0.943673657315215,6.21855013001473,0,0.560479042663949,1,"205280_at"
"200638_s_at",-0.929685931929452,9.51454473175847,0,0.570339153476918,1,"200638_s_at"
"204471_at",-0.929887005025629,8.40627205680328,0,0.574244883754654,1,"204471_at"
"207768_at",-0.926150605900175,6.50380364348532,0,0.584188212696463,1,"207768_at"
"206456_at",-0.899457527199328,7.49093465484698,0,0.591648055074431,1,"206456_at"
"214956_at",-0.93129627586596,7.7637046252792,0,0.594223706356894,1,"214956_at"
"214762_at",-0.919210611947904,8.77439814840727,0,0.596523856821757,1,"214762_at"
"212428_at",-0.926951550438513,8.0103922157908,0,0.601016157743713,1,"212428_at"
"206290_s_at",-0.924859576548135,9.30038415200154,0,0.60412763658293,1,"206290_s_at"
"213496_at",-0.892258396666353,9.3050822237629,0,0.604512794590107,1,"213496_at"
"204337_at",-0.88777327027533,9.08865287186762,0,0.607871418998446,1,"204337_at"
"202854_at",-0.901759716193111,8.16434046088336,0,0.608231817592952,1,"202854_at"
