"","logFC","AveExpr","t","P.Value","adj.P.Val","Gene"
"221728_x_at",1.96057208631629,8.78730903217481,0.783156525760259,0.230884457975622,1,"221728_x_at"
"214218_s_at",1.6169575031724,7.61434123326463,0.613715078448416,0.279121777377863,1,"214218_s_at"
"205000_at",-1.30002540590294,5.0441604881829,-0.375098196533303,0.358787649852682,1,"205000_at"
"206552_s_at",-1.13915723538213,6.46075918323229,-0.226573895982387,0.411917776265859,1,"206552_s_at"
"200800_s_at",-1.12179574065061,8.46304141874068,-0.191461161916772,0.425865642420947,1,"200800_s_at"
"200664_s_at",-1.03123539733612,7.59621838007127,-0.0505927614860374,0.481274593234143,1,"200664_s_at"
"205278_at",-0.956727169937725,8.42384712411883,0,0.538455027889549,1,"205278_at"
"201841_s_at",-0.930211661372523,9.03008952239766,0,0.549992940863739,1,"201841_s_at"
"221730_at",-0.930077512807986,6.90846872281197,0,0.560018240790263,1,"221730_at"
"209189_at",-0.903397708188576,7.94552743029839,0,0.571641377096704,1,"209189_at"
"221729_at",-0.893402781996203,8.03556771618822,0,0.577990061590277,1,"221729_at"
"213436_at",-0.893930861106566,6.93525425729499,0,0.583582396072834,1,"213436_at"
"201909_at",-0.843760491974218,6.63605691649255,0,0.594092656509929,1,"201909_at"
"200666_s_at",-0.866546539484098,9.3828494629127,0,0.610812767465248,1,"200666_s_at"
"213418_at",-0.821913004794343,6.54439445566043,0,0.614823292743356,1,"213418_at"
"214414_x_at",0.847529035895596,9.36359714743769,0,0.622173403894241,1,"214414_x_at"
"200799_at",-0.853371655845017,11.175806207794,0,0.626908708298633,1,"200799_at"
"206935_at",-0.785862388146535,7.64811853759708,0,0.630967164252704,1,"206935_at"
"206976_s_at",-0.791911122924533,9.84361770456814,0,0.656702443093016,1,"206976_s_at"
"202581_at",-0.75295320339351,8.65590369218781,0,0.66474060107032,1,"202581_at"
"220122_at",-0.728481720360032,7.45037066388935,0,0.689542654847847,1,"220122_at"
"201123_s_at",-0.723943858186213,6.95059782410109,0,0.717504074042845,1,"201123_s_at"
"209116_x_at",0.660793636996862,8.93758125933869,0,0.718554192348805,1,"209116_x_at"
"200881_s_at",-0.711172902169327,8.09280614189897,0,0.730306310703442,1,"200881_s_at"
"207768_at",-0.720970262857756,6.50380364348532,0,0.730889276335765,1,"207768_at"
"213479_at",-0.741268433766575,7.99533191094325,0,0.73407424370513,1,"213479_at"
"209458_x_at",0.690861268612529,10.3738075574469,0,0.742640016823203,1,"209458_x_at"
"211968_s_at",-0.692033037117907,9.74552326014926,0,0.752275813507287,1,"211968_s_at"
"206456_at",-0.613843660532703,7.49093465484698,0,0.756483393495821,1,"206456_at"
"211936_at",-0.694570217540624,8.67045718951074,0,0.75683921621034,1,"211936_at"
"213921_at",-0.650054930578644,6.81159982247244,0,0.763347520630889,1,"213921_at"
"208687_x_at",-0.641709461591669,9.39843455363909,0,0.765118790547282,1,"208687_x_at"
"211696_x_at",0.637352960627876,9.65757781740128,0,0.766072044254718,1,"211696_x_at"
"205280_at",-0.647662470352786,6.21855013001473,0,0.769610382584643,1,"205280_at"
"210338_s_at",-0.534086562857601,9.12025499177922,0,0.771146963218293,1,"210338_s_at"
"214359_s_at",-0.579382823713352,8.62331415980688,0,0.771683369834546,1,"214359_s_at"
"206700_s_at",-0.621950182998658,6.64719273649794,0,0.778012621042013,1,"206700_s_at"
"211745_x_at",0.645392891737636,10.3770866549998,0,0.778458790396517,1,"211745_x_at"
"217414_x_at",0.641670892254307,9.62763696262239,0,0.780875604476794,1,"217414_x_at"
"200806_s_at",-0.584249695421677,7.61830854600801,0,0.781879178860459,1,"200806_s_at"
"204260_at",-0.558428833858271,7.68711564673859,0,0.785355624740282,1,"204260_at"
"204014_at",-0.537578870423554,6.03706016848314,0,0.787818292740572,1,"204014_at"
"221805_at",-0.520995350897865,8.47360750430622,0,0.792297194083992,1,"221805_at"
"216379_x_at",-0.53958062535027,9.15129249189384,0,0.794174944143053,1,"216379_x_at"
"205110_s_at",-0.566676003698653,8.9619895908652,0,0.79938318201992,1,"205110_s_at"
"204018_x_at",0.628650558042317,10.3900762214719,0,0.801990879609049,1,"204018_x_at"
"204035_at",-0.595183645599507,7.54505192687405,0,0.803478971708643,1,"204035_at"
"201444_s_at",-0.548191504416779,7.08640716580352,0,0.809461861820536,1,"201444_s_at"
"204540_at",-0.566175901053565,9.83800582072996,0,0.815251705631559,1,"204540_at"
"211699_x_at",0.601198288147346,9.53586258066879,0,0.816036498266987,1,"211699_x_at"
"205827_at",-0.577791344130874,8.25802291291874,0,0.81928685019234,1,"205827_at"
"216231_s_at",-0.504754952355803,10.3141972950488,0,0.823414231509384,1,"216231_s_at"
"200599_s_at",-0.635859701214828,8.74234615167706,0,0.823476470777292,1,"200599_s_at"
"219896_at",-0.559120005162523,7.92261652231157,0,0.824898778705496,1,"219896_at"
"217232_x_at",0.539417640359368,9.51826085082697,0,0.824977531377479,1,"217232_x_at"
