"","logFC","AveExpr","t","P.Value","adj.P.Val","Gene"
"221730_at",-2.18613183114725,6.90846872281197,-2.67460359905799,0.00599598534258761,1,"221730_at"
"221729_at",-2.00999807788537,8.03556771618822,-1.93106105382837,0.031485474475517,1,"221729_at"
"203231_s_at",-1.52025918615558,6.68082914411928,-1.59748143626785,0.060317219148342,1,"203231_s_at"
"221728_x_at",2.48081303914894,8.78730903217481,1.25213265820819,0.113201331097992,1,"221728_x_at"
"204712_at",-1.49841969360276,6.17285123240508,-1.14797135079895,0.130025373661529,1,"204712_at"
"214218_s_at",1.9900762299431,7.61434123326463,1.02143722574384,0.15977917292833,1,"214218_s_at"
"213436_at",-1.48341688759675,6.93525425729499,-1.00219652198117,0.162137793625256,1,"213436_at"
"213921_at",-1.39475264868924,6.81159982247244,-0.846042530917843,0.202119899324064,1,"213921_at"
"206552_s_at",-1.46484548055476,6.46075918323229,-0.784953982904829,0.219438273279506,1,"206552_s_at"
"202507_s_at",-1.357971834982,9.42844113249141,-0.622889745209329,0.269174319663499,1,"202507_s_at"
"202133_at",1.15739558316049,6.84471287785956,0.537481421760399,0.297448994618184,1,"202133_at"
"205827_at",-1.23435048994191,8.25802291291874,-0.531633054819015,0.299456182312639,1,"205827_at"
"220122_at",-1.28026522493551,7.45037066388935,-0.529276444008525,0.300335071648393,1,"220122_at"
"203998_s_at",-1.21043497931925,5.39389099263235,-0.405928929906466,0.343929088589729,1,"203998_s_at"
"203798_s_at",-1.21094096958894,6.50531821547994,-0.361101866499544,0.360619769172763,1,"203798_s_at"
"205000_at",-1.2107428778695,5.0441604881829,-0.273257036864232,0.39702145035678,1,"205000_at"
"207768_at",-1.07688974306292,6.50380364348532,-0.177681714976779,0.430103823425075,1,"207768_at"
"214956_at",-1.04281712836533,7.7637046252792,-0.12245156742525,0.451679894838768,1,"214956_at"
"204722_at",-1.03684233980048,10.0067619307267,-0.100456710722739,0.460327322026291,1,"204722_at"
"206731_at",-1.02800187585654,7.1857476561006,-0.0654479605447541,0.474149886318214,1,"206731_at"
"200978_at",-1.02585038268603,9.8948715168706,-0.0518460298687303,0.479657821111895,1,"200978_at"
"201909_at",-1.02829534396108,6.63605691649255,-0.0418576929160174,0.486135586250754,1,"201909_at"
"206935_at",-0.98481516011145,7.64811853759708,0,0.511487415774365,1,"206935_at"
"221646_s_at",0.980915850272424,7.65910271571805,0,0.5223921437613,1,"221646_s_at"
"214762_at",-0.975751615043182,8.77439814840727,0,0.525393805165212,1,"214762_at"
"201645_at",0.973135517885932,6.54353902574942,0,0.527775563721028,1,"201645_at"
"221449_s_at",-0.971560526610552,8.07241062810729,0,0.528971334906934,1,"221449_s_at"
"205280_at",-0.966151124592437,6.21855013001473,0,0.529403380363591,1,"205280_at"
"206976_s_at",-0.959637788365928,9.84361770456814,0,0.532436427567245,1,"206976_s_at"
"206290_s_at",-0.971692402042809,9.30038415200154,0,0.535334948063986,1,"206290_s_at"
"219140_s_at",-0.962507352427832,6.1483896326953,0,0.54028309460739,1,"219140_s_at"
"202429_s_at",-0.94563206501152,10.3380932084023,0,0.544826294429081,1,"202429_s_at"
"210222_s_at",-0.946128261983777,9.72651238056581,0,0.545382538436376,1,"210222_s_at"
"201020_at",-0.939214665366642,8.70159069821972,0,0.551025944390139,1,"201020_at"
"206700_s_at",-0.933211477214415,6.64719273649794,0,0.555886551754851,1,"206700_s_at"
"203999_at",-0.916655819164609,10.9926113875874,0,0.571815280324332,1,"203999_at"
"221805_at",-0.889630847838905,8.47360750430622,0,0.576169599610192,1,"221805_at"
"206456_at",-0.896493385023786,7.49093465484698,0,0.57634810558984,1,"206456_at"
"202670_at",-0.91400153534661,9.08302282969977,0,0.579167113305413,1,"202670_at"
"212428_at",-0.924707387195053,8.0103922157908,0,0.58751452718766,1,"212428_at"
"201123_s_at",-0.895855354128229,6.95059782410109,0,0.589168491086984,1,"201123_s_at"
"204471_at",-0.890176183149013,8.40627205680328,0,0.59540796093304,1,"204471_at"
"204507_s_at",-0.919848800986497,4.87165146533888,0,0.597281878325479,1,"204507_s_at"
"215599_at",0.881271516288332,5.97549684701563,0,0.604698075083812,1,"215599_at"
