"","logFC","AveExpr","t","P.Value","adj.P.Val","Gene"
"221729_at",-2.13452773676512,8.03556771618822,-2.09150579134686,0.0225246275110639,1,"221729_at"
"221805_at",-2.25274094412776,8.47360750430622,-2.08114311918843,0.0230290858431121,1,"221805_at"
"221730_at",-1.95417738741605,6.90846872281197,-2.07455082849581,0.0233500806239868,1,"221730_at"
"207957_s_at",-1.87664797473066,8.30400471302157,-2.04003475375863,0.0251158074032495,1,"207957_s_at"
"213436_at",-1.98621996424767,6.93525425729499,-1.97139367575687,0.0289802845558854,1,"213436_at"
"205113_at",-1.72504892272159,8.86605472462343,-1.81979599598364,0.0393887143924309,1,"205113_at"
"203798_s_at",-2.05598774744655,6.50531821547994,-1.7429951166818,0.0457964093121368,1,"203798_s_at"
"206481_s_at",-1.52378227446129,7.83920043876314,-1.72557984232109,0.0473531144765101,1,"206481_s_at"
"201939_at",-1.67920511812152,7.26872902302367,-1.68019749509908,0.0516498000514302,1,"201939_at"
"202018_s_at",1.50976928268884,6.29706248530843,1.56803360575509,0.0636784218296545,1,"202018_s_at"
"206384_at",-1.36917502018262,8.53358371798791,-1.51911132544945,0.0695995177235911,1,"206384_at"
"204337_at",-1.71111562350568,9.08865287186762,-1.49146052714231,0.0731401225074408,1,"204337_at"
"203797_at",-1.5757936307603,10.6590709288877,-1.46704021332437,0.0763830446544304,1,"203797_at"
"200638_s_at",-1.68454442016575,9.51454473175847,-1.4644416896326,0.0767362373943502,1,"200638_s_at"
"221911_at",-1.50370841162277,7.14945372825938,-1.46069462713235,0.0772445591196545,1,"221911_at"
"204712_at",-1.6560191472449,6.17285123240508,-1.45687022389614,0.0777684955138489,1,"204712_at"
"203224_at",-1.49568015470251,8.59968641374248,-1.45576994200862,0.0779185880339748,1,"203224_at"
"205691_at",-1.47269160150478,9.16047676124984,-1.43095990116449,0.0813858468074674,1,"205691_at"
"219736_at",-1.42662252956752,6.06414752610223,-1.40897430584902,0.0845595405758489,1,"219736_at"
"205352_at",-1.56225771548935,8.9035507316255,-1.38971837329128,0.0874188830071824,1,"205352_at"
"215241_at",-1.52272855070101,8.13470208591842,-1.36810282436724,0.0907178553085189,1,"215241_at"
"205489_at",-1.42261157246832,8.75430838425467,-1.32131178561175,0.0981909258173958,1,"205489_at"
"221916_at",-1.58981968680945,10.1392172688761,-1.30845803969008,0.100326110897622,1,"221916_at"
"210222_s_at",-1.63117419776787,9.72651238056581,-1.29507908653242,0.102586993856307,1,"210222_s_at"
"204591_at",-1.57374703532995,8.36716576233862,-1.27227148360143,0.106524210497854,1,"204591_at"
"206290_s_at",-1.40045483963083,9.30038415200154,-1.21989771002801,0.116001298310967,1,"206290_s_at"
"203000_at",-1.6049528658829,9.08688441880945,-1.21407936782443,0.117098099285428,1,"203000_at"
"202507_s_at",-1.70810169269874,9.42844113249141,-1.18802738476197,0.122111448985605,1,"202507_s_at"
"203999_at",-1.55218078168329,10.9926113875874,-1.16438420274409,0.126724061526709,1,"203999_at"
"213496_at",-1.55656577777592,9.3050822237629,-1.1438544156498,0.130868138145677,1,"213496_at"
